year,round,race_name,driver_id,constructor_id,podium_finish,grid_position,quali_position,driver_points_before_race,driver_wins_before_race,driver_avg_finish_last_3,driver_finish_volatility,driver_avg_finish_at_track,constructor_points_before_race,constructor_championship_position,circuit_id,overtaking_difficulty,grid_x_overtaking,driver_recovery_ability,recovery_opportunity,team_form_last_3,team_momentum,chaos_potential,strategic_team
2018,1,Australian Grand Prix,vettel,ferrari,1,3,3.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,9.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,hamilton,mercedes,1,1,1.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,3.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,raikkonen,ferrari,1,2,2.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,6.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,ricciardo,red_bull,0,8,5.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,24.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,alonso,mclaren,0,10,11.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,30.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,max_verstappen,red_bull,0,4,4.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,12.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,hulkenberg,renault,0,7,8.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,21.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,bottas,mercedes,0,15,10.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,45.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,vandoorne,mclaren,0,11,12.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,33.0,0,0,12,0,1,1
2018,1,Australian Grand Prix,sainz,renault,0,9,9.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,27.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,perez,force_india,0,12,13.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,36.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,ocon,force_india,0,14,15.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,42.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,leclerc,sauber,0,18,18.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,54.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,stroll,williams,0,13,14.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,39.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,brendon_hartley,toro_rosso,0,16,16.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,48.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,grosjean,haas,0,6,7.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,18.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,kevin_magnussen,haas,0,5,6.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,15.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,gasly,toro_rosso,0,20,20.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,60.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,ericsson,sauber,0,17,17.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,51.0,0,0,12,0,1,0
2018,1,Australian Grand Prix,sirotkin,williams,0,19,19.0,0.0,0.0,12.0,0.0,12.0,0.0,0.0,albert_park,3.0,57.0,0,0,12,0,1,0
2018,2,Bahrain Grand Prix,vettel,ferrari,1,1,1.0,25.0,1.0,1.0,0.0,12.0,40.0,1.0,bahrain,3.0,3.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,bottas,mercedes,1,3,3.0,4.0,0.0,8.0,0.0,12.0,22.0,2.0,bahrain,3.0,9.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,hamilton,mercedes,1,9,4.0,18.0,0.0,2.0,0.0,12.0,22.0,2.0,bahrain,3.0,27.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,gasly,toro_rosso,0,5,6.0,0.0,0.0,18.0,0.0,12.0,0.0,9.0,bahrain,3.0,15.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,kevin_magnussen,haas,0,6,7.0,0.0,0.0,17.0,0.0,12.0,0.0,0.0,bahrain,3.0,18.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,hulkenberg,renault,0,7,8.0,6.0,0.0,7.0,0.0,12.0,7.0,5.0,bahrain,3.0,21.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,alonso,mclaren,0,13,13.0,10.0,0.0,5.0,0.0,12.0,12.0,4.0,bahrain,3.0,39.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,vandoorne,mclaren,0,14,14.0,2.0,0.0,9.0,0.0,12.0,12.0,4.0,bahrain,3.0,42.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,ericsson,sauber,0,17,17.0,0.0,0.0,19.0,0.0,12.0,0.0,7.0,bahrain,3.0,51.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,ocon,force_india,0,8,9.0,0.0,0.0,12.0,0.0,12.0,0.0,6.0,bahrain,3.0,24.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,sainz,renault,0,10,10.0,1.0,0.0,10.0,0.0,12.0,7.0,5.0,bahrain,3.0,30.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,leclerc,sauber,0,19,19.0,0.0,0.0,13.0,0.0,12.0,0.0,7.0,bahrain,3.0,57.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,grosjean,haas,0,16,16.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,bahrain,3.0,48.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,stroll,williams,0,20,20.0,0.0,0.0,14.0,0.0,12.0,0.0,8.0,bahrain,3.0,60.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,sirotkin,williams,0,18,18.0,0.0,0.0,20.0,0.0,12.0,0.0,8.0,bahrain,3.0,54.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,perez,force_india,0,12,12.0,0.0,0.0,11.0,0.0,12.0,0.0,6.0,bahrain,3.0,36.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,brendon_hartley,toro_rosso,0,11,11.0,0.0,0.0,15.0,0.0,12.0,0.0,9.0,bahrain,3.0,33.0,0,0,12,0,0,0
2018,2,Bahrain Grand Prix,raikkonen,ferrari,0,2,2.0,15.0,0.0,3.0,0.0,12.0,40.0,1.0,bahrain,3.0,6.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,max_verstappen,red_bull,0,15,15.0,8.0,0.0,6.0,0.0,12.0,20.0,3.0,bahrain,3.0,45.0,0,0,12,0,0,1
2018,2,Bahrain Grand Prix,ricciardo,red_bull,0,4,5.0,12.0,0.0,4.0,0.0,12.0,20.0,3.0,bahrain,3.0,12.0,0,0,12,0,0,1
